epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.02181,1.67197,0.32,1,1.55699,5.555e-05,5.555e-05,5.555e-05
2,9.08871,1.45959,0.44,1,1.3901,0.000121,0.000121,0.000121
3,11.7355,1.20546,0.56,1,1.1828,0.00018513,0.00018513,0.00018513
4,14.2135,0.95435,0.64,1,0.99962,0.000247941,0.000247941,0.000247941
5,17.8655,0.74219,0.72,1,0.79109,0.000309431,0.000309431,0.000309431
6,20.3741,0.54952,0.8,1,0.631,0.000369602,0.000369602,0.000369602
7,23.0035,0.37719,0.8,1,0.55229,0.000428453,0.000428453,0.000428453
8,27.2234,0.28813,0.8,1,0.50928,0.000485984,0.000485984,0.000485984
9,29.8215,0.20235,0.8,1,0.44391,0.000542195,0.000542195,0.000542195
10,32.954,0.12635,0.84,1,0.37381,0.000597086,0.000597086,0.000597086
11,36.0372,0.1516,0.92,1,0.24604,0.000650657,0.000650657,0.000650657
12,39.1551,0.10417,0.92,1,0.23009,0.000702909,0.000702909,0.000702909
13,42.0128,0.0534,0.88,1,0.33634,0.00075384,0.00075384,0.00075384
14,44.5445,0.02892,0.88,1,0.45205,0.000803452,0.000803452,0.000803452
15,47.7028,0.01518,0.88,1,0.47443,0.000851744,0.000851744,0.000851744
16,50.7977,0.06795,0.88,1,0.43073,0.000898716,0.000898716,0.000898716
17,53.175,0.01727,0.88,1,0.37817,0.000935018,0.000935018,0.000935018
18,55.9565,0.07075,0.84,1,0.38451,0.000924019,0.000924019,0.000924019
19,58.8336,0.11156,0.84,1,0.40067,0.00091302,0.00091302,0.00091302
20,61.367,0.03258,0.84,1,0.64626,0.000902021,0.000902021,0.000902021
21,63.6913,0.07914,0.84,1,0.73056,0.000891022,0.000891022,0.000891022
22,66.6706,0.03466,0.8,1,0.70712,0.000880023,0.000880023,0.000880023
23,69.1219,0.08564,0.8,1,0.72869,0.000869024,0.000869024,0.000869024
24,71.5965,0.06866,0.84,1,0.3042,0.000858025,0.000858025,0.000858025
25,74.0676,0.03999,0.92,1,0.2359,0.000847026,0.000847026,0.000847026
26,76.6365,0.02748,0.92,1,0.25134,0.000836027,0.000836027,0.000836027
27,79.1249,0.06241,0.92,1,0.25746,0.000825029,0.000825029,0.000825029
28,81.6609,0.11449,0.92,1,0.31001,0.00081403,0.00081403,0.00081403
29,84.1265,0.10959,0.92,1,0.33989,0.000803031,0.000803031,0.000803031
30,86.7037,0.11283,0.92,1,0.30222,0.000792032,0.000792032,0.000792032
31,89.2613,0.05253,0.92,1,0.35111,0.000781033,0.000781033,0.000781033
32,91.758,0.08639,0.88,1,0.56692,0.000770034,0.000770034,0.000770034
33,94.2488,0.09764,0.88,1,0.61594,0.000759035,0.000759035,0.000759035
34,96.784,0.07288,0.88,1,0.73823,0.000748036,0.000748036,0.000748036
35,99.3277,0.05271,0.88,1,0.76691,0.000737037,0.000737037,0.000737037
36,101.774,0.11163,0.88,1,0.68724,0.000726038,0.000726038,0.000726038
37,104.308,0.0519,0.88,1,0.55286,0.00071504,0.00071504,0.00071504
38,106.786,0.08449,0.88,1,0.47345,0.000704041,0.000704041,0.000704041
39,109.345,0.12943,0.92,1,0.4566,0.000693042,0.000693042,0.000693042
40,111.839,0.05117,0.88,1,0.29364,0.000682043,0.000682043,0.000682043
41,114.298,0.18789,0.88,1,0.23535,0.000671044,0.000671044,0.000671044
42,116.955,0.1222,0.96,1,0.20578,0.000660045,0.000660045,0.000660045
43,119.392,0.12746,0.96,1,0.20114,0.000649046,0.000649046,0.000649046
44,121.832,0.03996,0.92,1,0.20555,0.000638047,0.000638047,0.000638047
45,124.349,0.05805,0.92,1,0.23124,0.000627048,0.000627048,0.000627048
46,126.956,0.04864,0.92,1,0.28544,0.000616049,0.000616049,0.000616049
47,129.456,0.03219,0.92,1,0.32455,0.000605051,0.000605051,0.000605051
48,132.032,0.0243,0.92,1,0.3584,0.000594052,0.000594052,0.000594052
49,134.549,0.02844,0.92,1,0.35997,0.000583053,0.000583053,0.000583053
50,137.259,0.03723,0.96,1,0.3536,0.000572054,0.000572054,0.000572054
51,139.737,0.08735,0.92,1,0.37213,0.000561055,0.000561055,0.000561055
52,142.397,0.21296,0.92,1,0.29461,0.000550056,0.000550056,0.000550056
53,144.828,0.06901,0.92,1,0.2547,0.000539057,0.000539057,0.000539057
54,147.514,0.01775,0.92,1,0.15881,0.000528058,0.000528058,0.000528058
55,150.028,0.03828,0.92,1,0.1371,0.000517059,0.000517059,0.000517059
56,152.618,0.01326,0.96,1,0.10663,0.00050606,0.00050606,0.00050606
57,155.164,0.03214,0.96,1,0.1112,0.000495062,0.000495062,0.000495062
58,157.924,0.05027,0.92,1,0.12881,0.000484063,0.000484063,0.000484063
59,160.472,0.027,0.92,1,0.12887,0.000473064,0.000473064,0.000473064
60,163.134,0.03466,0.92,1,0.12484,0.000462065,0.000462065,0.000462065
61,165.814,0.02951,0.92,1,0.13262,0.000451066,0.000451066,0.000451066
62,168.542,0.03224,0.96,1,0.1627,0.000440067,0.000440067,0.000440067
63,171.037,0.03227,0.96,1,0.18157,0.000429068,0.000429068,0.000429068
64,173.748,0.02484,0.92,1,0.20051,0.000418069,0.000418069,0.000418069
65,176.433,0.01129,0.92,1,0.22142,0.00040707,0.00040707,0.00040707
66,179.104,0.02108,0.92,1,0.25441,0.000396071,0.000396071,0.000396071
67,181.648,0.01683,0.88,1,0.25027,0.000385073,0.000385073,0.000385073
68,184.201,0.02477,0.92,1,0.26402,0.000374074,0.000374074,0.000374074
69,186.92,0.04302,0.92,1,0.25126,0.000363075,0.000363075,0.000363075
70,189.677,0.0173,0.92,1,0.21871,0.000352076,0.000352076,0.000352076
71,192.347,0.01535,0.92,1,0.21573,0.000341077,0.000341077,0.000341077
72,195.104,0.00461,0.96,1,0.1887,0.000330078,0.000330078,0.000330078
73,197.774,0.01269,0.96,1,0.19658,0.000319079,0.000319079,0.000319079
74,200.524,0.01809,0.92,1,0.16872,0.00030808,0.00030808,0.00030808
75,203.381,0.00904,0.92,1,0.16904,0.000297081,0.000297081,0.000297081
76,206.214,0.0022,0.92,1,0.16021,0.000286083,0.000286083,0.000286083
77,209.172,0.00313,0.92,1,0.16954,0.000275084,0.000275084,0.000275084
78,212.121,0.0099,0.92,1,0.17302,0.000264085,0.000264085,0.000264085
79,215.035,0.00635,0.92,1,0.16172,0.000253086,0.000253086,0.000253086
80,217.963,0.00628,0.92,1,0.18366,0.000242087,0.000242087,0.000242087
81,220.842,0.00979,0.92,1,0.15768,0.000231088,0.000231088,0.000231088
82,223.71,0.00444,0.92,1,0.17745,0.000220089,0.000220089,0.000220089
83,226.563,0.01923,0.92,1,0.17783,0.00020909,0.00020909,0.00020909
84,229.409,0.03288,0.92,1,0.17908,0.000198091,0.000198091,0.000198091
85,232.229,0.02101,0.92,1,0.189,0.000187092,0.000187092,0.000187092
86,235.016,0.02122,0.92,1,0.1871,0.000176094,0.000176094,0.000176094
87,237.839,0.07219,0.96,1,0.15675,0.000165095,0.000165095,0.000165095
88,240.781,0.00301,0.92,1,0.19524,0.000154096,0.000154096,0.000154096
89,243.647,0.03141,0.92,1,0.19744,0.000143097,0.000143097,0.000143097
90,246.663,0.00464,0.92,1,0.20484,0.000132098,0.000132098,0.000132098
91,249.63,0.01049,0.92,1,0.20458,0.000121099,0.000121099,0.000121099
92,252.636,0.01172,0.96,1,0.20555,0.0001101,0.0001101,0.0001101
93,255.484,0.02486,0.96,1,0.20165,9.91012e-05,9.91012e-05,9.91012e-05
94,258.434,0.02649,0.96,1,0.20469,8.81023e-05,8.81023e-05,8.81023e-05
95,261.239,0.00354,0.96,1,0.19604,7.71034e-05,7.71034e-05,7.71034e-05
96,263.983,0.00389,0.96,1,0.22354,6.61045e-05,6.61045e-05,6.61045e-05
97,266.711,0.00746,0.92,1,0.23038,5.51056e-05,5.51056e-05,5.51056e-05
98,269.595,0.01934,0.92,1,0.22146,4.41067e-05,4.41067e-05,4.41067e-05
99,272.33,0.00759,0.92,1,0.22171,3.31078e-05,3.31078e-05,3.31078e-05
100,275.189,0.00641,0.92,1,0.2303,2.21089e-05,2.21089e-05,2.21089e-05
